plan_id,provider_id,provider_name,plan_name,data_mb,validity_days,data_cap_per,usd_price,usd_promo_price,effective_price,is_promo,price_cad,new_user_only,promo_enabled,can_top_up,subscription,pay_as_you_go,ekyc,speed_limit,reduced_speed,possible_throttling,has_5g,tethering,has_ads,num_countries,data_display,validity_display
68db84c8c7d163c6f6a9386c,5c89d6b91144d06205595375,GigSky,North America,100,7,,0.0,0.0,0.0,True,,False,False,,False,False,,,,False,False,,False,5,100MB,7 days
695b311b55a3cad380911bb3,6875cc9ee40f4fd4c110ce88,abesteSIM,North America (US &amp; Canada &amp; Mexico) 5G - 1 Day/Total 200MB,200,1,day,0.9181700100254037,,0.9181700100254037,False,1.275968926722173,False,True,False,False,False,False,,128.0,False,False,True,False,3,200MB,1 days
695b312355a3cad380912d70,6875cc9ee40f4fd4c110ce88,abesteSIM,US &amp; Canada - 1 Day/Total 200MB,200,1,day,0.9181700100254037,,0.9181700100254037,False,1.275968926722173,False,True,False,False,False,False,,128.0,False,False,True,False,2,200MB,1 days
68dc672cadbaffe4b0eaebe8,65fd5b85efc7ee1e3444055a,MicroEsim,North America (US &amp; Canada &amp; Mexico) 5G 1 Day / Total 200MB,200,1,day,1.01,0.010000000000000009,0.010000000000000009,True,0.01389687000000001,False,True,False,False,False,False,,128.0,False,False,True,False,3,200MB,1 days
68dc672cadbaffe4b0eaecfc,65fd5b85efc7ee1e3444055a,MicroEsim,US &amp; Canada 1 Day / Total 200MB,200,1,day,1.01,0.010000000000000009,0.010000000000000009,True,0.01389687000000001,False,True,False,False,False,False,,128.0,False,False,True,False,2,200MB,1 days
695b311f55a3cad3809124c5,6875cc9ee40f4fd4c110ce88,abesteSIM,US &amp; Canada - 1 Day/Daily 500MB,500,1,day,1.1049164527424349,,1.1049164527424349,False,1.535488030462276,False,True,False,False,False,False,,512.0,False,False,True,False,2,500MB,1 days
68d50c0800caad49ca950e94,66ac21966d047ed956f30520,iRoamly,USA &amp; Canada &amp; Mexico-eSIM-500MB-1 Day-Daily,500,1,,1.25,,1.25,False,1.73710875,False,True,False,False,False,False,,128.0,False,False,True,False,3,500MB,1 days
695b312055a3cad3809125d1,6875cc9ee40f4fd4c110ce88,abesteSIM,US &amp; Canada - 1 Day/Daily 1GB,1000,1,day,1.3227873025789716,,1.3227873025789716,False,1.838260318159063,False,True,False,False,False,False,,512.0,False,False,True,False,2,1000MB,1 days
68dc672badbaffe4b0eaeaee,65fd5b85efc7ee1e3444055a,MicroEsim,North America (US &amp; Canada &amp; Mexico) 5G 1 Day / Daily 500MB,500,1,day,1.42,0.41999999999999993,0.41999999999999993,True,0.5836685399999999,False,True,False,False,False,False,,128.0,False,False,True,False,3,500MB,1 days
68a8a05ebb78507dd9fcefe0,651a85325fee853583ffe8e5,eSIM4Travel,Canada &amp; USA - 1GB/3Days,1000,3,,1.45,1.305,1.305,True,1.8135415349999997,False,True,True,False,False,False,,,False,False,True,False,2,1000MB,3 days
695b7561acee409245b372bf,65fd5b85efc7ee1e3444055a,MicroEsim,US &amp; Canada 1 Day / Daily 500MB,500,1,day,1.46,0.45999999999999996,0.45999999999999996,True,0.6392560199999999,False,True,False,False,False,False,,512.0,False,False,True,False,2,500MB,1 days
69254af1ace2426a75767310,5eb95317a5faaf0b7dfa9b24,Billion Connect,USA &amp; Canada eSIM  1 Day 1GB/Day,1000,1,,1.58,1.4220000000000002,1.4220000000000002,True,1.976134914,False,True,,False,False,,,128.0,False,False,True,False,2,1000MB,1 days
69077808a930c70d6ca35028,663a2caf5fddf2d5b402fd46,mobineX,Unlimited Standard,1000,1,,1.6,1.4400000000000002,1.4400000000000002,True,2.00114928,False,True,True,False,False,False,,128.0,False,False,,False,2,1000MB,1 days
69254af1ace2426a7576734b,5eb95317a5faaf0b7dfa9b24,Billion Connect,USA &amp; Canada eSIM  1 Day 500MB/Day,500,1,,1.67,1.503,1.503,True,2.088699561,False,True,,False,False,,,128.0,False,False,True,False,2,500MB,1 days
695b7561acee409245b372ae,65fd5b85efc7ee1e3444055a,MicroEsim,US &amp; Canada 1 Day / Daily 1GB,1000,1,day,1.76,0.76,0.76,True,1.05616212,False,True,False,False,False,False,,512.0,False,False,True,False,2,1000MB,1 days
695b311a55a3cad380911aa3,6875cc9ee40f4fd4c110ce88,abesteSIM,North America (US &amp; Canada &amp; Mexico) 5G - 1 Day/Daily 1GB,1000,1,day,1.797434511151426,,1.797434511151426,False,2.4978713734984916,False,True,False,False,False,False,,128.0,False,False,True,False,3,1000MB,1 days
6911cc5ee6d07a0a61d5d107,6703d78781b690b781d3bac0,Simfinity,eSIM: USA+Canada (eco),100,1,,1.8,1.62,1.62,True,2.25129294,False,False,True,False,False,False,,,False,False,True,False,2,100MB,1 days
68dc672cadbaffe4b0eaebe6,65fd5b85efc7ee1e3444055a,MicroEsim,North America (US &amp; Canada &amp; Mexico) 5G 1 Day / Daily 1GB,1000,1,day,1.98,0.98,0.98,True,1.3618932599999998,False,True,False,False,False,False,,128.0,False,False,True,False,3,1000MB,1 days
68ff1009b6f540bf63a11249,61092d9ae3da2061875bc429,Keepgo,Cygnus: Canada + USA,100,0,,2.0,,2.0,False,2.779374,False,False,True,False,False,False,,,False,False,True,False,3,100MB,No expiry
695784510bf5ae3b1bb838d7,6943428c276fe61c43f578a8,PikaSim,USA &amp; Canada 500MB/Day,500,1,,2.2,,2.2,False,3.0573114,False,True,,False,False,,,,False,False,,False,2,500MB,1 days
695b311f55a3cad3809124b5,6875cc9ee40f4fd4c110ce88,abesteSIM,US &amp; Canada - 3 Days/Total 1GB,1000,3,,2.2020518037049936,,2.2020518037049936,False,3.0601627649353813,False,True,False,False,False,False,,,False,False,True,False,2,1000MB,3 days
693b8d6af59618ace441eaa4,68d9f58e1ca1afab5066f0bd,ESIM888,USA/Canada (1GB/7DAYS),1000,7,,2.25,2.025,2.025,True,2.8141161749999997,False,True,,False,False,,,,False,False,,False,2,1000MB,7 days
68da253a184401d0d814c3b3,5d16f93191d4f93192b3349c,RedteaGO,USA &amp; Canada,500,1,,2.29,2.1755,2.1755,True,3.0232640684999996,False,True,,False,False,,,,False,False,,False,2,500MB,1 days
695784510bf5ae3b1bb83836,6943428c276fe61c43f578a8,PikaSim,North America 500MB/Day,500,1,,2.3,,2.3,False,3.1962800999999996,False,True,,False,False,,,,False,False,,False,3,500MB,1 days
68db69d227a6d0119329f3b6,656019a51f0926ec7c9be0d2,EscapeSIM,Canada And USA 1GB,1000,14,,2.4049576252680738,,2.4049576252680738,False,3.342138347385913,False,True,True,False,False,False,,,False,False,True,False,2,1000MB,14 days
695b312055a3cad380912546,6875cc9ee40f4fd4c110ce88,abesteSIM,US &amp; Canada - 1 Day/Daily 2GB,2000,1,day,2.412141551761654,,2.412141551761654,False,3.352121756642997,False,True,False,False,False,False,,512.0,False,False,True,False,2,2.0GB,1 days
695b311f55a3cad3809124a6,6875cc9ee40f4fd4c110ce88,abesteSIM,US &amp; Canada - 5 Days/Total 1GB,1000,5,,2.412141551761654,,2.412141551761654,False,3.352121756642997,False,True,False,False,False,False,,,False,False,True,False,2,1000MB,5 days
68dcc8fcd08bf4821b68cf5d,63760bdc4e2b1c13f365b600,Yoho Mobile,North American 500MB/Daily 1Day,500,1,,2.49,,2.49,False,3.46032063,False,True,False,False,False,False,,128.0,False,False,True,False,5,500MB,1 days
69313852fc4bdfc04c6b14cb,6747c8e603e7509b3dc0bfc3,Earth Esim,500MB/1 Day USA &amp; Canada 5G eSIM,500,1,,2.49,,2.49,False,3.46032063,False,True,False,False,False,False,,,False,False,True,False,2,500MB,1 days
69317ea5642297226254998b,6747c8e603e7509b3dc0bfc3,Earth Esim,"500MB/1 Day USA, Canada &amp; Mexico",500,1,,2.49,,2.49,False,3.46032063,False,True,False,False,False,False,,,False,False,True,False,3,500MB,1 days
6936c4c8bf8e875bfac52db8,6686050b234c9994fcbd5060,Truely,"North America - 300MB, 2 days",300,2,,2.49,2.241,2.241,True,3.114288567,False,True,True,False,False,,,,False,False,True,False,3,300MB,2 days
690c5b39cf869f38347af2a8,648ad56367000ad251f95680,Monty eSIM,North America,1000,7,,2.5,,2.5,False,3.4742175,False,True,,False,False,,,,False,False,,False,3,1000MB,7 days
68d50c0800caad49ca950ea4,66ac21966d047ed956f30520,iRoamly,USA &amp; Canada &amp; Mexico-eSIM-1GB-1 Day-Daily,1000,1,,2.6,,2.6,False,3.6131862,False,True,False,False,False,False,,128.0,False,False,True,False,3,1000MB,1 days
695b311f55a3cad380912522,6875cc9ee40f4fd4c110ce88,abesteSIM,US &amp; Canada - 7 Days/Total 1GB,1000,7,,2.6300124015981905,,2.6300124015981905,False,3.6548940443397844,False,True,False,False,False,False,,,False,False,True,False,2,1000MB,7 days
69077808a930c70d6ca35020,663a2caf5fddf2d5b402fd46,mobineX,Unlimited Standard,1000,1,,2.7,2.43,2.43,True,3.37693941,False,True,True,False,False,False,,128.0,False,False,,False,2,1000MB,1 days
