4574,4574,4574,4564,4564,174,1158,476,1557,4574,4574,783,4574,18,4574,0,3435,3182,3347,1988,1370,80,1566,4574,4574,4574,4574,4574,4574,4574,0,4574,4574,4574,2728,3947,2490,619,405,152,563,152,177,152,152,457,152,152,152,363,164,280,104,261,208,257,197,145,110,203,87,117,108,200,133,185,127,92,131,137,101,52,52,112,57,108,142,52,78,52,52,52,103,52,52,52,52,52,112,78,52,52,52,52,52,103,87,52,52,52,108,73,117,52,135,78,52,52,98,52,103,52,87,52,52,52,52,87,52,139,73,52,52,52,40,35,25,55,12,51,64,64,64,30,21,21
_id,coverages,numberCoveredCountry,enName,name,price_info,capacity_info,validity_info,additionalInfo,capacity,period,prices_EUR,subscription,subscription_period,phone_number,telephony,canTopUp,eKYC,tethering,internetBreakouts,dataCapPer,speedLimit,reducedSpeed,possibleThrottling,promoEnabled,provider,hasAds,payAsYouGo,newUserOnly,isConsecutive,networkTypes,isLowLatency,has5G,usdPrice,usdPromoPrice,prices_USD,promoPrices_USD,promoPrices_EUR,prices_SGD,prices_AMD,prices_GBP,prices_GEL,prices_RUB,prices_UZS,promoPrices_AMD,promoPrices_GBP,promoPrices_GEL,promoPrices_RUB,promoPrices_UZS,prices_AUD,prices_AED,prices_CAD,promoPrices_AED,promoPrices_AUD,promoPrices_CAD,prices_JPY,promoPrices_JPY,prices_HKD,promoPrices_HKD,prices_CHF,prices_CZK,prices_DKK,prices_ILS,prices_KRW,prices_MYR,prices_NZD,prices_PLN,prices_SEK,prices_TWD,promoPrices_NZD,promoPrices_TWD,prices_ALL,prices_BGN,prices_CNY,prices_HUF,prices_IDR,prices_INR,prices_ISK,prices_LBP,prices_MAD,prices_MUR,prices_PEN,prices_PHP,prices_PKR,prices_PYG,prices_QAR,prices_RON,prices_RSD,prices_SAR,prices_THB,prices_UAH,prices_UYU,prices_VND,promoPrices_ALL,promoPrices_BGN,promoPrices_CHF,promoPrices_CNY,promoPrices_CZK,promoPrices_DKK,promoPrices_HUF,promoPrices_IDR,promoPrices_ILS,promoPrices_INR,promoPrices_ISK,promoPrices_KRW,promoPrices_LBP,promoPrices_MAD,promoPrices_MUR,promoPrices_MYR,promoPrices_PEN,promoPrices_PHP,promoPrices_PKR,promoPrices_PLN,promoPrices_PYG,promoPrices_QAR,promoPrices_RON,promoPrices_RSD,promoPrices_SAR,promoPrices_SEK,promoPrices_SGD,promoPrices_THB,promoPrices_UAH,promoPrices_UYU,promoPrices_VND,prices_MXN,promoPrices_MXN,prices_NOK,prices_ZAR,prices_BRL,telephony_dialingCode,telephony_voice,telephony_sms,telephony__id,promoPrices_ZAR,prices_OMR,promoPrices_OMR
6930124da494596ad6f5695c,63 items,63,FairPlay FirstFill FREE 1 GB 180 DAYS,FairPlay FirstFill FREE 1 GB 180 DAYS,,,,"â€¢ No payment details needed
â€¢ No more eSIM swaps!
â€¢ 5G high-speed internet
â€¢ eSIM 2 x re-activatable after deletion
â€¢ Auto renewal: OFF",1000,180,0,FALSE,,FALSE,,TRUE,FALSE,TRUE,,,,,FALSE,FALSE,69007ec7060073f43b25c6a8,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68da51a49ecaacd99c74ac8d,39 items,39,FREE Europe eSIM &amp; Data,FREE Europe eSIM &amp; Data,Enjoy your free trial :),No throttling.,30-day free trial starts upon eSIM activation.,"Roamless eSIM can be used globally.
eSIM can be activated immediately. If needed, eSIM can be deleted and re-activated. You won't lose your Flex Credits or Fix Plans even if you delete your eSIM.",525,30,,FALSE,,FALSE,,TRUE,,TRUE,"{'country': 'BE'},{'country': 'FR'}",,,,FALSE,FALSE,66e18e73597f9c6d753b7571,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68db84cbc7d163c6f6a93e24,42 items,42,Europe,Europe,,,,,500,7,,FALSE,,FALSE,,,,,"{'country': 'DK'},{'country': 'US'}",,,,FALSE,FALSE,5c89d6b91144d06205595375,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6910b30ec1cfe99cf3045b14,104 items,104,iRoamly-eSIM-500MB-1 Day-Daily-Free,iRoamly-eSIM-500MB-1 Day-Daily-Free,,,,"500MB high-speed per day, then reduced to 384kbps",500,1,,FALSE,,FALSE,,FALSE,FALSE,TRUE,,,,,FALSE,FALSE,66ac21966d047ed956f30520,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68f7a57d1a37c4b60a8c4d34,35 items,35,Corvus Europe,Corvus Europe,,,,,100,7,,FALSE,,FALSE,,TRUE,FALSE,TRUE,,,,,FALSE,FALSE,61092d9ae3da2061875bc429,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692edb6e2294731c96a53203,108 items,108,Firsty Free,Firsty Free,,,,"Unlimited data for essential services (Whatsapp, navigation, Uber,...)
No expiry",0,1,0,FALSE,,FALSE,,FALSE,,,,,256,,TRUE,FALSE,66719ce7b8d1560ec8b11691,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68da253a184401d0d814c3bb,37 items,37,Europe (37 countries),Europe (37 countries),,,,,200,1,,FALSE,,FALSE,,,,,,,,,FALSE,TRUE,5d16f93191d4f93192b3349c,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,0.52,0.494,0.52,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692485eae80c3c2b83a6bca1,33 items,33,Europe &amp; UK,Europe &amp; UK,,,,"This plan is available only for new Yesim users
Instant activation or delayed for 365 days",500,3,0.45,FALSE,,FALSE,,,,TRUE,{'country': 'PL'},,,,FALSE,TRUE,5d4a55600c59513ea8d90d02,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,0.52498935,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68db770835850fa8f214c8b4,33 items,33,Europe eSIM [33 Countries] 1 Day 500MB/Day,Europe eSIM [33 Countries] 1 Day 500MB/Day,,,,,500,1,,FALSE,,FALSE,,,,TRUE,{'country': 'AT'},,,128,FALSE,TRUE,5eb95317a5faaf0b7dfa9b24,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,0.69,0.621,0.69,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
