_id,coverages,numberCoveredCountry,enName,name,price_info,capacity_info,validity_info,additionalInfo,capacity,period,prices_EUR,subscription,subscription_period,phone_number,telephony,canTopUp,eKYC,tethering,internetBreakouts,dataCapPer,speedLimit,reducedSpeed,possibleThrottling,promoEnabled,provider,hasAds,payAsYouGo,newUserOnly,isConsecutive,networkTypes,isLowLatency,has5G,usdPrice,usdPromoPrice,prices_USD,promoPrices_USD,promoPrices_EUR,prices_SGD,prices_AMD,prices_GBP,prices_GEL,prices_RUB,prices_UZS,promoPrices_AMD,promoPrices_GBP,promoPrices_GEL,promoPrices_RUB,promoPrices_UZS,prices_AUD,prices_AED,prices_CAD,promoPrices_AED,promoPrices_AUD,promoPrices_CAD,prices_JPY,promoPrices_JPY,prices_HKD,promoPrices_HKD,prices_CHF,prices_CZK,prices_DKK,prices_ILS,prices_KRW,prices_MYR,prices_NZD,prices_PLN,prices_SEK,prices_TWD,promoPrices_NZD,promoPrices_TWD,prices_ALL,prices_BGN,prices_CNY,prices_HUF,prices_IDR,prices_INR,prices_ISK,prices_LBP,prices_MAD,prices_MUR,prices_PEN,prices_PHP,prices_PKR,prices_PYG,prices_QAR,prices_RON,prices_RSD,prices_SAR,prices_THB,prices_UAH,prices_UYU,prices_VND,promoPrices_ALL,promoPrices_BGN,promoPrices_CHF,promoPrices_CNY,promoPrices_CZK,promoPrices_DKK,promoPrices_HUF,promoPrices_IDR,promoPrices_ILS,promoPrices_INR,promoPrices_ISK,promoPrices_KRW,promoPrices_LBP,promoPrices_MAD,promoPrices_MUR,promoPrices_MYR,promoPrices_PEN,promoPrices_PHP,promoPrices_PKR,promoPrices_PLN,promoPrices_PYG,promoPrices_QAR,promoPrices_RON,promoPrices_RSD,promoPrices_SAR,promoPrices_SEK,promoPrices_SGD,promoPrices_THB,promoPrices_UAH,promoPrices_UYU,promoPrices_VND,prices_MXN,promoPrices_MXN,prices_NOK,prices_ZAR,prices_BRL,telephony_dialingCode,telephony_voice,telephony_sms,telephony__id,promoPrices_ZAR,prices_OMR,promoPrices_OMR
68d15d3d58a43c7143a5ceae,59 items,59,Vodafone Global eSIM (Data + Calls + UK phone number),Vodafone Global eSIM (Data + Calls + UK phone number),,,,,25000,30,39.99,False,,False,,,,,,,,,False,True,661627fa152261f55b820bc8,False,False,False,False,,False,False,39.99,35.991,39.99,35.99,35.99,,,39.99,,,,,35.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+44,"{'inbound': True, 'outbound': True}","{'inbound': True, 'outbound': True}",691c90f01501d63300ebe943,,,
68d6da9c622eb11f91651d21,35 items,35,Europe,Europe,,Unthrottled,"no auto-renewal, no contracts, all prepaid","Download the app for additional functions and easy eSIM management
The validity period begins when the eSIM is properly activated and a first connection to a network is initiated.",20000,30,,False,,False,,True,False,True,,,,,False,True,6579951a2ab42e58d53befcd,False,False,False,False,,False,False,39.99,35.991,39.99,35.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68e21cdd6ec61c0ba21e34d7,73 items,73,Europe Asia and USA 20 GB Yearly,Europe Asia and USA 20 GB Yearly,Get 10% cashback when signing up!,,,,20000,365,,False,,False,,False,,True,{'country': 'PL'},,,,False,True,6386134ed12efb94fc05f1fb,False,False,False,False,,False,False,39.99,,39.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69303a48279ddd2f6b09dc93,99 items,99,Global Explorer - 365 Days - 20 GB (99 countries),Global Explorer - 365 Days - 20 GB (99 countries),,,,,20000,365,,False,,False,,True,False,True,,,,,False,True,63c52208de7c07fba95ec104,False,False,False,False,,False,False,39.99,38.49,39.99,38.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693396bbe241b54167b2d640,106 items,106,15GB Monthly,15GB Monthly,,"Full-speed data, no limitations",You can activate eSIM anytime within 180 days after purchase,"Money-back guarantee.
Use your existing number for WhatsApp/Telegram.
Re-installation up to 5 times on the same device.",15000,30,,True,month,False,,False,False,True,,,,,False,True,68ec5eda4504d6cf105b4184,False,False,False,False,,False,False,39.99,35.991,39.99,35.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68db84cbc7d163c6f6a93e2a,42 items,42,Europe,Europe,,,,,10000,30,,False,,False,,,,,"{'country': 'DK'},{'country': 'US'}",,,,False,True,5c89d6b91144d06205595375,False,False,False,False,,False,False,39.99,31.992,39.99,31.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69317d636422972262549493,155 items,155,Global Explorer XXL - 180 Days - 10 GB (155 countries),Global Explorer XXL - 180 Days - 10 GB (155 countries),,,,,10000,180,,False,,False,,True,False,True,,,,,False,True,63c52208de7c07fba95ec104,False,False,False,False,,False,False,39.99,38.49,39.99,38.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68e7f00d9e2a08be38c3636c,29 items,29,"Europe eSIM 70 GB, Unlimited Call &amp; SMS - 30 Days","Europe eSIM 70 GB, Unlimited Call &amp; SMS - 30 Days",,,,The validity period start when the eSIM first connect to a network,70000,30,,False,,False,,False,False,True,{'country': 'FR'},,,,False,True,663a1a4b5fddf2d5b402906b,False,False,False,False,,False,False,40.0,38.0,40.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+33,"{'inbound': True, 'outbound': True}","{'inbound': True, 'outbound': True}",6934755a763c98e86959d75b,,,
68e7f00d9e2a08be38c36381,32 items,32,"Europe Sprint eSIM 70 GB, Unlimited Call &amp; SMS - 30 Days","Europe Sprint eSIM 70 GB, Unlimited Call &amp; SMS - 30 Days",,,,The validity period start when the eSIM first connect to a network,70000,30,,False,,False,,False,False,True,{'country': 'FR'},,,,False,True,663a1a4b5fddf2d5b402906b,False,False,False,False,,False,False,40.0,38.0,40.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+33,"{'inbound': True, 'outbound': True}","{'inbound': True, 'outbound': True}",6934755b763c98e86959d761,,,
68da253a184401d0d814c3c5,37 items,37,Europe (37 countries),Europe (37 countries),,,,,50000,180,,False,,False,,,,,,,,,False,True,5d16f93191d4f93192b3349c,False,False,False,False,,False,False,40.0,38.0,40.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
