provider,plan_title,price,data,validity,details_link,data_mb,validity_days,total_trip_cost
GIGAGO,United States eSIM,1.9,500MB/day,1 Day,https://esimdb.com/usa/gigago,500.0,1.0,11.399999999999999
Firsty,Firsty Comfort+ (US) - 2 Days,3.84,1.5GB/day,2 Days,https://esimdb.com/usa/firsty,1536.0,2.0,11.52
Firsty,Firsty Comfort+ (US) - 1 Day,1.92,1.5GB,1 Day,https://esimdb.com/usa/firsty,1536.0,1.0,11.52
Yoho Mobile,Global D 500MB/Daily 1Day,1.96,500MB,1 Day,https://esimdb.com/usa/yoho-mobile,500.0,1.0,11.76
Yoho Mobile,Europe B 1GB/Daily 1Day,1.96,1GB,1 Day,https://esimdb.com/usa/yoho-mobile,1024.0,1.0,11.76
GLOBAL YO,Backpacker - 1 Days - 1 GB (21 countries),1.99,1GB,1 Day,https://esimdb.com/usa/yoverse,1024.0,1.0,11.94
iRoamly,United States-500MB-1 Day-Daily,2.0,500MB,1 Day,https://esimdb.com/usa/iroamly,500.0,1.0,12.0
eSIMple,United States - 0.5GB,2.0,500MB,1 Day,https://esimdb.com/usa/esimple,500.0,1.0,12.0
Earth Esim,500MB/1 Day United States 5G,2.0,500MB,1 Day,https://esimdb.com/usa/earth-esim,500.0,1.0,12.0
GIGAGO,United States eSIM,2.0,1GB/day,1 Day,https://esimdb.com/usa/gigago,1024.0,1.0,12.0
Billion Connect,USA eSIM 1 Day 2GB/Day,2.08,2GB,1 Day,https://esimdb.com/usa/billionconnect,2048.0,1.0,12.48
eSimFlare,United States 500MB/Day,4.3,500MB/day,2 Days,https://esimdb.com/usa/esimflare,500.0,2.0,12.899999999999999
RedteaGO,USA & Canada,2.29,500MB,1 Day,https://esimdb.com/usa/redtea,500.0,1.0,13.74
MicroEsim,Global 24 Destinations 1 Day / Daily 1GB,2.3,1GB/day,1 Day,https://esimdb.com/usa/microesim,1024.0,1.0,13.799999999999999
Yoho Mobile,Global D 1GB/Daily 1Day,2.43,1GB,1 Day,https://esimdb.com/usa/yoho-mobile,1024.0,1.0,14.580000000000002
Yoho Mobile,Europe A 2GB/Daily 1Day,2.43,2GB,1 Day,https://esimdb.com/usa/yoho-mobile,2048.0,1.0,14.580000000000002
Yoho Mobile,Global E 500MB/Daily 1Day,2.43,500MB,1 Day,https://esimdb.com/usa/yoho-mobile,500.0,1.0,14.580000000000002
Yoho Mobile,United States 2GB/Daily 1Day,2.43,2GB,1 Day,https://esimdb.com/usa/yoho-mobile,2048.0,1.0,14.580000000000002
TravelGator eSIM,United States eSIM Roaming Data,2.46,2GB,1 Day,https://esimdb.com/usa/travelgatorsim,2048.0,1.0,14.76
iRoamly,USA & Canada-eSIM-500MB-1 Day-Daily,2.5,500MB,1 Day,https://esimdb.com/usa/iroamly,500.0,1.0,15.0
