plan_id,provider_id,provider_name,plan_name,data_mb,validity_days,data_cap_per,usd_price,usd_promo_price,effective_price,is_promo,price_cad,new_user_only,promo_enabled,can_top_up,subscription,pay_as_you_go,ekyc,speed_limit,reduced_speed,possible_throttling,has_5g,tethering,has_ads,num_countries,covers_all_target,data_display,validity_display
690288488c69c31d2a64ba1c,67f32a92d392d55306110f1a,eSimFlare,Europe(30+ areas) 2GB/Day,2000,7,day,30.5,,30.5,False,42.25836,False,True,True,False,False,False,,384.0,False,False,True,False,34,True,2.0GB,7 days
68db770b35850fa8f214ccd5,5eb95317a5faaf0b7dfa9b24,Billion Connect,Europe eSIM [33 Countries] 13 Days  Unlimited /Day,0,13,,30.53,27.477,27.477,True,38.06993304,False,True,,False,False,,,,True,False,True,False,33,True,0MB,13 days
68da3623eded8f4734b05cbe,67fcf6bbbbc312c4799a2e78,eSIMania,Europe+ 5GB for 30 days,5000,30,,30.6,29.07,29.07,True,40.2770664,False,True,,False,False,False,,,False,False,,False,35,True,4.9GB,30 days
69252401502181cc3396a4c8,691a70e2a3dd350531e33c74,eSimfly,Global (120+ areas) 5GB 30Days,5000,30,,30.6,29.07,29.07,True,40.2770664,False,True,True,False,False,False,,,False,False,True,False,120,True,4.9GB,30 days
68dc6721adbaffe4b0eae03d,65fd5b85efc7ee1e3444055a,MicroEsim,Europe 33 Countries 10 Days / Unlimited,0,10,,30.61,29.61,29.61,True,41.0252472,False,True,False,False,False,False,,,True,False,True,False,33,True,0MB,10 days
68dcc8f3d08bf4821b68c99c,63760bdc4e2b1c13f365b600,Yoho Mobile,Global F 5GB 7Day,5000,7,,30.64,,30.64,False,42.4523328,False,True,False,False,False,False,,128.0,False,False,True,False,122,True,4.9GB,7 days
68dcc8f3d08bf4821b68c9b0,63760bdc4e2b1c13f365b600,Yoho Mobile,Global F 500MB/Daily 10Day,500,10,day,30.64,,30.64,False,42.4523328,False,True,False,False,False,False,,128.0,False,False,True,False,122,True,500MB,10 days
68e78fa556a8f8ab68edc1a8,6875cc9ee40f4fd4c110ce88,abesteSIM,Europe (41 Countries) - 15 Days/Daily 3GB,3000,15,day,30.731255075695692,,30.731255075695692,False,42.578768532477895,False,True,False,False,False,False,,128.0,False,False,True,False,40,True,2.9GB,15 days
68e917b3ecd6a960a6761227,6604b5d4447d135968a696a3,Sim Local,Europe Unlimited 7 Days,10000,7,day,30.75,29.2125,29.2125,True,40.474503,False,True,,False,False,,,,False,False,,False,30,True,9.8GB,7 days
69296b983c05467be947114f,6764f0cca7e04a963bb3a185,eSIMCard,"eSIM, 50GB, 31 Days, Europe, Unthrottled",50000,31,,30.8,27.72,27.72,True,38.4066144,False,True,False,False,False,False,,,False,False,True,False,42,True,48.8GB,31 days
68dcc8f4d08bf4821b68ca6e,63760bdc4e2b1c13f365b600,Yoho Mobile,Europe C 20GB 10Day,20000,10,,30.88,,30.88,False,42.7848576,False,True,False,False,False,False,,128.0,False,False,True,False,35,True,19.5GB,10 days
68dcc8f2d08bf4821b68c962,63760bdc4e2b1c13f365b600,Yoho Mobile,Global E 10GB 7Day,10000,7,,30.88,,30.88,False,42.7848576,False,True,False,False,False,False,,128.0,False,False,True,False,83,True,9.8GB,7 days
